time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 21.09.2021 - 17:00 LSEČ,Bratislava - Mlynská Dolina,14.7 °C,S,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 17:00 LSEČ,Bratislava Ivanka,15.3 °C,SZ,5 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 17:00 LSEČ,Bratislava Koliba,13.9 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 18:00 LSEČ,Bratislava - Mlynská Dolina,14.8 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 18:00 LSEČ,Bratislava Ivanka,15.1 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 18:00 LSEČ,Bratislava Koliba,13.7 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 18:00 LSEČ,Bratislava - Mlynská Dolina,14.8 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 18:00 LSEČ,Bratislava Ivanka,15.1 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 18:00 LSEČ,Bratislava Koliba,13.7 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 19:00 LSEČ,Bratislava - Mlynská Dolina,13.1 °C,S,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 19:00 LSEČ,Bratislava Ivanka,14.6 °C,SZ,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 19:00 LSEČ,Bratislava Koliba,12.8 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 19:00 LSEČ,Bratislava - Mlynská Dolina,13.1 °C,S,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 19:00 LSEČ,Bratislava Ivanka,14.6 °C,SZ,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 19:00 LSEČ,Bratislava Koliba,12.8 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 20:00 LSEČ,Bratislava Ivanka,14.2 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 20:00 LSEČ,Bratislava Koliba,12.3 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 20:00 LSEČ,Bratislava Ivanka,14.2 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 20:00 LSEČ,Bratislava Koliba,12.3 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 21:00 LSEČ,Bratislava - Mlynská Dolina,12.2 °C,SV,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 21:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 21:00 LSEČ,Bratislava Koliba,12.2 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 21:00 LSEČ,Bratislava - Mlynská Dolina,12.2 °C,SV,1 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 21:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 21:00 LSEČ,Bratislava Koliba,12.2 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 22:00 LSEČ,Bratislava - Mlynská Dolina,12.1 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 22:00 LSEČ,Bratislava Ivanka,13.6 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 22:00 LSEČ,Bratislava Koliba,12.1 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 22:00 LSEČ,Bratislava - Mlynská Dolina,12.1 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 22:00 LSEČ,Bratislava Ivanka,13.6 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 22:00 LSEČ,Bratislava Koliba,12.1 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 23:00 LSEČ,Bratislava - Mlynská Dolina,11.9 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 23:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 23:00 LSEČ,Bratislava Koliba,11.9 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 23:00 LSEČ,Bratislava - Mlynská Dolina,11.9 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 21.09.2021 - 23:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 21.09.2021 - 23:00 LSEČ,Bratislava Koliba,11.9 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 00:00 LSEČ,Bratislava - Mlynská Dolina,11.1 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 00:00 LSEČ,Bratislava Ivanka,12.8 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 00:00 LSEČ,Bratislava Koliba,11.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 00:00 LSEČ,Bratislava - Mlynská Dolina,11.1 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 00:00 LSEČ,Bratislava Ivanka,12.8 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 00:00 LSEČ,Bratislava Koliba,11.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 01:00 LSEČ,Bratislava - Mlynská Dolina,10.9 °C,SV,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 01:00 LSEČ,Bratislava Ivanka,12.5 °C,Z,2 m/s,,Takmer zamračené,
